url,property_id,found_at
https://www.hemnet.se/bostad/lagenhet-3rum-vellinge-parkby-vellinge-kommun-krusbarsgatan-21482743,21482743,2025-11-15T20:13:55.418779
https://www.hemnet.se/bostad/lagenhet-1rum-ribersborg-malmo-kommun-kilian-zollsgatan-15a-21511871,21511871,2025-11-15T20:13:55.419931
https://www.hemnet.se/bostad/lagenhet-2rum-almhog-malmo-kommun-rodkullastigen-9b-21475742,21475742,2025-11-15T20:13:55.420976
https://www.hemnet.se/bostad/lagenhet-2rum-soderkulla-malmo-kommun-tornfalksgatan-20-21373163,21373163,2025-11-15T20:13:55.422004
https://www.hemnet.se/bostad/lagenhet-2rum-sorgenfri-malmo-kommun-torekovsgatan-2-21287908,21287908,2025-11-15T20:13:55.423071
https://www.hemnet.se/bostad/lagenhet-3rum-limhamn-malmo-kommun-linnegatan-29-21493002,21493002,2025-11-15T20:13:55.424038
https://www.hemnet.se/bostad/lagenhet-3rum-limhamns-sjostad-malmo-kommun-packhusgatan-27-21496990,21496990,2025-11-15T20:13:55.425010
https://www.hemnet.se/bostad/lagenhet-2rum-rorsjostaden-malmo-kommun-ehrensvardsgatan-9-21496988,21496988,2025-11-15T20:13:55.426025
https://www.hemnet.se/bostad/lagenhet-1rum-annestad-malmo-kommun-sadelmakarebyn-7c-21553004,21553004,2025-11-15T20:13:55.427045
https://www.hemnet.se/bostad/lagenhet-1rum-ellstorp-malmo-kommun-ellstorpsgatan-3c-21572519,21572519,2025-11-15T20:13:55.428028
"https://www.hemnet.se/bostad/lagenhet-1,5rum-lonngarden-malmo-kommun-lonngatan-56a-21587684",21587684,2025-11-15T20:13:55.429040
https://www.hemnet.se/bostad/lagenhet-2rum-dockan-malmo-kommun-lagatan-11c-21589434,21589434,2025-11-15T20:13:55.430008
https://www.hemnet.se/bostad/lagenhet-4rum-norra-sorgenfri-malmo-kommun-sparvagen-28a-21591242,21591242,2025-11-15T20:13:55.431028
https://www.hemnet.se/bostad/lagenhet-2rum-strandstaden-lomma-kommun-esplanaden-16-a-21589336,21589336,2025-11-15T20:13:55.432055
https://www.hemnet.se/bostad/lagenhet-2rum-malmo-kommun-falkmansgatan-3-bostadsrattslokal-21596148,21596148,2025-11-15T20:13:55.433031
